model,d, n, m, q, method, ktype,proj,sigma,kopt
1,1,1000,2,3,bs,uni,TRUE,1,3.4
2,1,1000,2,3,bs,uni,TRUE,1,7.2
3,1,1000,2,3,bs,uni,TRUE,1,11.9
4,2,1000,2,3,bs,uni,TRUE,1,4.4
5,2,1000,2,3,bs,uni,TRUE,1,4.2
6,3,1000,2,3,bs,uni,TRUE,1,3.3
7,3,1000,2,3,bs,uni,TRUE,1,2.3
1,1,1000,2,3,bs,qua,TRUE,1,3.4
2,1,1000,2,3,bs,qua,TRUE,1,7.2
3,1,1000,2,3,bs,qua,TRUE,1,11.9
4,2,1000,2,3,bs,qua,TRUE,1,4.4
5,2,1000,2,3,bs,qua,TRUE,1,4.2
6,3,1000,2,3,bs,qua,TRUE,1,3.3
7,3,1000,2,3,bs,qua,TRUE,1,2.3
1,1,1000,2,3,wav,uni,TRUE,1,5.3
2,1,1000,2,3,wav,uni,TRUE,1,11.2
3,1,1000,2,3,wav,uni,TRUE,1,18.4
4,2,1000,2,3,wav,uni,FALSE,1,6.4
5,2,1000,2,3,wav,uni,FALSE,1,6.1
